Hero,2025-04-29,2025-04-22,2025-04-14,2025-04-07,2025-04-01,2025-03-25,2025-03-18,2025-03-11,2025-03-04,2025-02-25,2025-02-18,2025-02-11,2025-02-04,2025-01-13,2025-01-07,2024-12-17,2024-12-10,2024-12-03,2024-11-26,2024-11-12,2024-11-04,2024-10-29,2024-10-22,2024-10-15,2024-10-08,2024-09-30,2024-09-23,2024-09-10,2024-09-03,2024-08-27,2024-08-18,2024-08-12,2024-08-05,2024-07-22,2024-07-10,2024-07-03,2024-05-21,2024-05-14,2024-04-30,2024-04-16,2024-04-08,2024-02-27,2024-01-09,2023-12-18,2023-12-12,2023-11-19,2023-11-06,2023-10-23,2023-10-10,2023-09-18,2023-07-30,2023-06-26,2023-05-31,2023-05-22,2023-03-06,2022-12-12,2022-11-13,2022-11-09,2022-08-29,2022-07-25,2022-06-13,2022-06-01,2022-05-16,2022-05-02,2022-03-21
"Arakni, 5L!p3d 7hRu 7h3 cR4X",65.0,41.0,26.0,26.0,26.0,21.0,21.0,21.0,21.0,15.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arakni, Huntsman",13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,4.0,0.0,0.0,,,,,,,,
"Arakni, Marionette",111.0,108.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,66.0,51.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aurora, Shooting Star",914.0,773.0,695.0,690.0,685.0,660.0,610.0,585.0,550.0,496.0,457.0,409.0,370.0,370.0,370.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,310.0,210.0,120.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azalea, Ace in the Hole",860.0,848.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,836.0,830.0,827.0,818.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,783.0,733.0,708.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,633.0,533.0,533.0,515.0,443.0,396.0,240.0,208.0,208.0,208.0,188.0,188.0,148.0,36.0,36.0,36.0,36.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Betsy, Skin in the Game",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
"Bravo, Showstopper",760.0,754.0,754.0,754.0,754.0,754.0,754.0,754.0,754.0,754.0,754.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,751.0,741.0,736.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,696.0,690.0,684.0,656.0,584.0,544.0,544.0,484.0,484.0,360.0,328.0,328.0,304.0,304.0,298.0,288.0,278.0,238.0,238.0,238.0,228.0,228.0,196.0,180.0,172.0,172.0,172.0
"Cindra, Dracai of Retribution",268.0,256.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,226.0,196.0,133.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dash I/O,211.0,199.0,190.0,190.0,190.0,190.0,185.0,185.0,185.0,179.0,170.0,155.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,127.0,72.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,17.0,17.0,14.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,
"Dash, Inventor Extraordinaire",943.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,935.0,925.0,920.0,910.0,910.0,910.0,910.0,910.0,910.0,910.0,910.0,910.0,910.0,860.0,810.0,810.0,798.0,765.0,762.0,742.0,698.0,698.0,698.0,698.0,698.0,674.0,646.0,646.0,594.0,594.0,588.0,578.0,472.0,312.0,312.0,302.0,292.0,192.0,164.0,156.0,144.0,144.0,144.0
Dorinthea Ironsong,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,602.0,602.0,599.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,585.0,580.0,580.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,550.0,525.0,525.0,519.0,468.0,392.0,368.0,340.0,340.0,340.0,340.0,340.0,324.0,304.0,304.0,264.0,264.0,254.0,250.0,244.0,204.0,204.0,204.0,194.0,194.0,166.0,158.0,150.0,150.0,150.0
"Fai, Rising Rebellion",802.0,802.0,802.0,802.0,802.0,802.0,802.0,802.0,802.0,802.0,802.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,791.0,786.0,786.0,786.0,786.0,786.0,786.0,786.0,786.0,786.0,786.0,786.0,786.0,783.0,783.0,780.0,780.0,776.0,764.0,764.0,724.0,724.0,424.0,400.0,392.0,392.0,392.0,392.0,386.0,380.0,364.0,238.0,238.0,238.0,188.0,188.0,0.0,,,,
"Fang, Dracai of Blades",49.0,43.0,40.0,40.0,40.0,40.0,15.0,15.0,15.0,6.0,6.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Florian, Rotwood Harbinger",397.0,301.0,283.0,283.0,283.0,283.0,283.0,233.0,233.0,218.0,212.0,209.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,165.0,95.0,35.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ira, Scarlet Revenger",41.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,32.0,17.0,8.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarl Vetreiði,83.0,65.0,65.0,65.0,65.0,65.0,40.0,40.0,40.0,37.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kano, Dracai of Aether",744.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,723.0,723.0,717.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,706.0,676.0,671.0,661.0,661.0,636.0,636.0,636.0,611.0,611.0,611.0,611.0,606.0,606.0,531.0,523.0,348.0,303.0,294.0,250.0,182.0,182.0,162.0,122.0,122.0,122.0,122.0,122.0,70.0,70.0,64.0,56.0,54.0,48.0,48.0,48.0,48.0,48.0,40.0,32.0,32.0,32.0,32.0
Kassai of the Golden Sand,348.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,342.0,342.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,331.0,328.0,316.0,232.0,220.0,40.0,,,,,,,,,,,,,,,,,,,,,,,
"Katsu, the Wanderer",655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,646.0,613.0,592.0,516.0,480.0,480.0,480.0,460.0,460.0,412.0,390.0,390.0,378.0,378.0,370.0,354.0,348.0,346.0,346.0,346.0,346.0,346.0,342.0,342.0,338.0,330.0,330.0
"Kayo, Armed and Dangerous",725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,719.0,713.0,707.0,707.0,707.0,707.0,707.0,682.0,682.0,682.0,682.0,682.0,672.0,657.0,642.0,632.0,632.0,632.0,632.0,632.0,632.0,632.0,632.0,632.0,632.0,632.0,557.0,557.0,402.0,245.0,200.0,108.0,,,,,,,,,,,,,,,,,,,,,,,
"Levia, Shadowborn Abomination",171.0,168.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,152.0,147.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,132.0,132.0,129.0,102.0,76.0,56.0,24.0,24.0,24.0,24.0,24.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,8.0,4.0,0.0,0.0,0.0
Maxx 'The Hype' Nitro,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,69.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,34.0,34.0,34.0,34.0,22.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
"Nuu, Alluring Desire",816.0,762.0,744.0,744.0,744.0,744.0,744.0,744.0,744.0,723.0,681.0,627.0,585.0,285.0,580.0,580.0,580.0,580.0,580.0,580.0,575.0,575.0,525.0,470.0,420.0,375.0,375.0,375.0,375.0,375.0,370.0,320.0,320.0,285.0,285.0,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olympia, Prized Fighter",7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
"Oscilio, Constella Intelligence",34.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prism, Awakener of Sol",562.0,544.0,532.0,527.0,502.0,502.0,502.0,502.0,502.0,484.0,454.0,430.0,409.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,379.0,354.0,344.0,339.0,339.0,339.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,289.0,254.0,254.0,230.0,110.0,80.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
"Rhinar, Reckless Rampage",284.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,248.0,242.0,234.0,210.0,210.0,210.0,210.0,210.0,206.0,206.0,206.0,194.0,194.0,192.0,192.0,192.0,160.0,160.0,160.0,50.0,50.0,46.0,42.0,34.0,30.0,30.0
"Riptide, Lurker of the Deep",83.0,83.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,61.0,56.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,46.0,46.0,40.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,,,,,,,,,
"Ser Boltyn, Breaker of Dawn",377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,367.0,362.0,362.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,332.0,296.0,290.0,258.0,222.0,222.0,222.0,222.0,222.0,218.0,218.0,218.0,168.0,168.0,168.0,168.0,168.0,160.0,160.0,160.0,160.0,160.0,156.0,156.0,152.0,152.0,152.0
"Teklovossen, Esteemed Magnate",27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
"Uzuri, Switchblade",405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,400.0,400.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,295.0,295.0,295.0,295.0,295.0,289.0,271.0,268.0,220.0,208.0,208.0,208.0,208.0,208.0,80.0,64.0,64.0,40.0,40.0,24.0,14.0,0.0,,,,,,,,,,
"Verdance, Thorn of the Rose",122.0,110.0,107.0,107.0,107.0,82.0,82.0,82.0,82.0,67.0,61.0,55.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,15.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Victor Goldmane, High and Mighty",438.0,432.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,414.0,411.0,405.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,394.0,384.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,354.0,274.0,274.0,226.0,142.0,112.0,68.0,,,,,,,,,,,,,,,,,,,,,,,
"Vynnset, Iron Maiden",120.0,108.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,84.0,63.0,51.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,40.0,35.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,12.0,12.0,12.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
"Enigma, Ledger of Ancestry",,,989.0,839.0,809.0,809.0,809.0,809.0,784.0,769.0,754.0,733.0,715.0,690.0,690.0,690.0,690.0,690.0,690.0,640.0,615.0,515.0,485.0,400.0,285.0,165.0,90.0,90.0,90.0,65.0,65.0,65.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zen, Tamer of Purpose",,,991.0,991.0,991.0,961.0,961.0,961.0,961.0,937.0,922.0,907.0,895.0,895.0,870.0,845.0,845.0,740.0,740.0,715.0,715.0,665.0,650.0,630.0,610.0,595.0,595.0,595.0,595.0,590.0,560.0,555.0,530.0,475.0,445.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viserai, Rune Blood",,,,,,,,,,,944.0,872.0,825.0,825.0,825.0,820.0,810.0,805.0,780.0,780.0,780.0,780.0,725.0,670.0,595.0,560.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,526.0,511.0,508.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,490.0,490.0,482.0,472.0,468.0,452.0,452.0,452.0,412.0,382.0,278.0,278.0,278.0,274.0,274.0
Jarl Vetreiđi,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bravo, Star of the Show",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1582.0,1390.0,1098.0,974.0,814.0
"Briar, Warden of Thorns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1158.0,998.0,998.0,982.0,970.0,964.0,922.0,922.0,922.0,842.0,642.0,558.0,522.0,446.0,430.0,430.0
"Chane, Bound by Shadow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102.0,988.0,808.0,556.0,556.0
"Dromai, Ash Artist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096.0,996.0,704.0,648.0,628.0,588.0,588.0,568.0,416.0,240.0,240.0,126.0,126.0,114.0,102.0,84.0,42.0,42.0,42.0,32.0,32.0,0.0,,,,
"Iyslander, Stormbind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.0,972.0,932.0,872.0,844.0,844.0,762.0,642.0,630.0,624.0,614.0,392.0,392.0,392.0,42.0,12.0,0.0,,,,
"Lexi, Livewire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276.0,1046.0,958.0,926.0,400.0,400.0,348.0,296.0,238.0,212.0,202.0,202.0,182.0,182.0,130.0,122.0,98.0,94.0,94.0
"Oldhim, Grandfather of Eternity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.0,1052.0,1018.0,678.0,498.0,498.0,498.0,218.0,218.0,166.0,158.0,150.0,150.0,150.0
"Prism, Sculptor of Arc Light",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098.0,998.0,848.0,780.0,640.0,620.0,560.0
